Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1001,2021-01-01 00:00:00,2021-01-08 00:00:00,First Class,C0334,Sara,Corporate,Pakistan,Faisalabad,Islamabad Capital,East,P0436,Furniture,Storage,Pen Set,1700.42,5,0.07,87.3
1002,2021-01-01 01:00:00,2021-01-05 01:00:00,Second Class,C0464,Ali,Consumer,Pakistan,Karachi,Sindh,Central,P0271,Technology,Storage,Pen Set,660.11,3,0.01,42.43
1003,2021-01-01 02:00:00,2021-01-09 02:00:00,Standard Class,C0059,Noor,Home Office,Pakistan,Faisalabad,Punjab,West,P0429,Office Supplies,Phones,Executive Desk,1070.25,4,0.19,204.0
1004,2021-01-01 03:00:00,2021-01-06 03:00:00,Second Class,C0177,Ahmed,Home Office,Pakistan,Lahore,Sindh,South,P0058,Technology,Accessories,Filing Cabinet,66.54,6,0.02,8.64
1005,2021-01-01 04:00:00,2021-01-08 04:00:00,Standard Class,C0063,Omar,Consumer,Pakistan,Karachi,Punjab,Central,P0195,Office Supplies,Accessories,Executive Desk,1390.5,8,0.04,256.45
1006,2021-01-01 05:00:00,2021-01-04 05:00:00,Standard Class,C0958,Fatima,Home Office,Pakistan,Faisalabad,Sindh,East,P0201,Office Supplies,Chairs,Smartphone,431.0,7,0.02,55.15
1007,2021-01-01 06:00:00,2021-01-08 06:00:00,Same Day,C0561,Bilal,Consumer,Pakistan,Islamabad,Sindh,Central,P0072,Furniture,Accessories,Printer,987.95,3,0.29,120.86
1008,2021-01-01 07:00:00,2021-01-09 07:00:00,Same Day,C0307,Ahmed,Corporate,Pakistan,Lahore,Islamabad Capital,South,P0495,Office Supplies,Phones,Executive Desk,459.9,2,0.01,101.63
1009,2021-01-01 08:00:00,2021-01-06 08:00:00,Second Class,C0246,Omar,Corporate,Pakistan,Karachi,Sindh,Central,P0247,Office Supplies,Storage,Pen Set,95.89,3,0.08,21.19
1010,2021-01-01 09:00:00,2021-01-05 09:00:00,First Class,C0289,Ayesha,Home Office,Pakistan,Faisalabad,Islamabad Capital,South,P0481,Office Supplies,Chairs,Pen Set,992.28,5,0.2,232.15
1011,2021-01-01 10:00:00,2021-01-09 10:00:00,Second Class,C0798,Bilal,Corporate,Pakistan,Karachi,Punjab,West,P0098,Furniture,Storage,Filing Cabinet,878.43,7,0.25,188.51
1012,2021-01-01 11:00:00,2021-01-09 11:00:00,Standard Class,C0955,Sara,Corporate,Pakistan,Faisalabad,Punjab,West,P0329,Technology,Accessories,Filing Cabinet,879.04,8,0.18,66.36
1013,2021-01-01 12:00:00,2021-01-04 12:00:00,Same Day,C0332,Bilal,Consumer,Pakistan,Karachi,Islamabad Capital,South,P0081,Furniture,Tables,Smartphone,457.17,6,0.29,28.94
1014,2021-01-01 13:00:00,2021-01-07 13:00:00,Second Class,C0527,Ali,Consumer,Pakistan,Lahore,Sindh,West,P0425,Technology,Storage,Filing Cabinet,1897.05,2,0.1,117.02
1015,2021-01-01 14:00:00,2021-01-06 14:00:00,Second Class,C0850,Ali,Home Office,Pakistan,Lahore,Punjab,East,P0065,Office Supplies,Binders,Office Chair,56.84,2,0.14,13.98
1016,2021-01-01 15:00:00,2021-01-03 15:00:00,Same Day,C0255,Omar,Consumer,Pakistan,Karachi,Punjab,Central,P0424,Technology,Accessories,Executive Desk,1788.51,5,0.25,268.69
1017,2021-01-01 16:00:00,2021-01-09 16:00:00,Same Day,C0604,Ahmed,Home Office,Pakistan,Karachi,Punjab,South,P0005,Technology,Binders,Pen Set,1486.96,5,0.2,108.6
1018,2021-01-01 17:00:00,2021-01-07 17:00:00,Same Day,C0510,Fatima,Home Office,Pakistan,Rawalpindi,Islamabad Capital,South,P0478,Technology,Phones,Office Chair,385.54,1,0.06,61.25
1019,2021-01-01 18:00:00,2021-01-03 18:00:00,Standard Class,C0791,Sara,Consumer,Pakistan,Karachi,Punjab,South,P0459,Technology,Binders,Smartphone,970.77,1,0.15,186.45
1020,2021-01-01 19:00:00,2021-01-06 19:00:00,Same Day,C0718,Omar,Corporate,Pakistan,Karachi,Punjab,East,P0284,Office Supplies,Accessories,Pen Set,1978.26,9,0.29,136.3
1021,2021-01-01 20:00:00,2021-01-02 20:00:00,First Class,C0606,Ayesha,Corporate,Pakistan,Lahore,Punjab,East,P0294,Furniture,Chairs,Office Chair,1305.21,7,0.26,155.69
1022,2021-01-01 21:00:00,2021-01-07 21:00:00,Second Class,C0737,Sara,Corporate,Pakistan,Karachi,Punjab,East,P0081,Technology,Binders,Office Chair,298.38,8,0.06,26.13
1023,2021-01-01 22:00:00,2021-01-10 22:00:00,Same Day,C0813,Ali,Corporate,Pakistan,Islamabad,Islamabad Capital,South,P0498,Office Supplies,Tables,Pen Set,942.4,5,0.05,230.97
1024,2021-01-01 23:00:00,2021-01-02 23:00:00,Same Day,C0830,Noor,Home Office,Pakistan,Karachi,Islamabad Capital,East,P0087,Office Supplies,Tables,Executive Desk,963.0,3,0.25,109.44
1025,2021-01-02 00:00:00,2021-01-05 00:00:00,Standard Class,C0463,Noor,Corporate,Pakistan,Rawalpindi,Sindh,West,P0402,Office Supplies,Tables,Executive Desk,1614.41,3,0.06,303.67
1026,2021-01-02 01:00:00,2021-01-09 01:00:00,Standard Class,C0199,Fatima,Home Office,Pakistan,Faisalabad,Punjab,Central,P0293,Office Supplies,Binders,Printer,1836.52,3,0.14,429.17
1027,2021-01-02 02:00:00,2021-01-06 02:00:00,Second Class,C0271,Sara,Consumer,Pakistan,Lahore,Islamabad Capital,West,P0411,Technology,Phones,Office Chair,210.37,1,0.05,46.84
1028,2021-01-02 03:00:00,2021-01-11 03:00:00,First Class,C0746,Omar,Consumer,Pakistan,Islamabad,Sindh,West,P0281,Furniture,Tables,Executive Desk,662.37,3,0.0,85.31
1029,2021-01-02 04:00:00,2021-01-05 04:00:00,Second Class,C0558,Fatima,Home Office,Pakistan,Faisalabad,Sindh,East,P0197,Office Supplies,Storage,Office Chair,631.95,2,0.26,70.89
1030,2021-01-02 05:00:00,2021-01-07 05:00:00,Same Day,C0064,Bilal,Corporate,Pakistan,Islamabad,Punjab,South,P0252,Furniture,Phones,Office Chair,1992.29,8,0.23,422.07
1031,2021-01-02 06:00:00,2021-01-05 06:00:00,First Class,C0230,Bilal,Home Office,Pakistan,Lahore,Sindh,West,P0083,Furniture,Accessories,Smartphone,1140.49,6,0.14,103.82
1032,2021-01-02 07:00:00,2021-01-09 07:00:00,First Class,C0942,Ayesha,Corporate,Pakistan,Rawalpindi,Islamabad Capital,Central,P0027,Furniture,Chairs,Smartphone,1765.67,5,0.05,341.59
1033,2021-01-02 08:00:00,2021-01-07 08:00:00,First Class,C0952,Ahmed,Corporate,Pakistan,Lahore,Sindh,East,P0333,Office Supplies,Phones,Pen Set,880.76,1,0.24,191.18
1034,2021-01-02 09:00:00,2021-01-11 09:00:00,First Class,C0249,Noor,Home Office,Pakistan,Islamabad,Sindh,West,P0182,Office Supplies,Chairs,Office Chair,1459.31,2,0.11,320.82
1035,2021-01-02 10:00:00,2021-01-09 10:00:00,Second Class,C0246,Omar,Home Office,Pakistan,Islamabad,Islamabad Capital,East,P0135,Office Supplies,Phones,Smartphone,608.84,2,0.2,31.53
1036,2021-01-02 11:00:00,2021-01-04 11:00:00,Standard Class,C0940,Sara,Corporate,Pakistan,Lahore,Sindh,Central,P0090,Furniture,Accessories,Pen Set,1827.98,7,0.1,274.15
1037,2021-01-02 12:00:00,2021-01-06 12:00:00,Standard Class,C0587,Fatima,Home Office,Pakistan,Karachi,Sindh,East,P0206,Office Supplies,Chairs,Executive Desk,937.54,7,0.13,113.93
1038,2021-01-02 13:00:00,2021-01-11 13:00:00,Same Day,C0157,Omar,Corporate,Pakistan,Lahore,Sindh,South,P0027,Office Supplies,Phones,Office Chair,1617.26,6,0.16,397.48
1039,2021-01-02 14:00:00,2021-01-04 14:00:00,Standard Class,C0735,Fatima,Home Office,Pakistan,Rawalpindi,Sindh,West,P0378,Furniture,Chairs,Smartphone,548.84,8,0.23,87.16
1040,2021-01-02 15:00:00,2021-01-11 15:00:00,Standard Class,C0702,Fatima,Consumer,Pakistan,Lahore,Punjab,West,P0059,Office Supplies,Tables,Executive Desk,1402.53,4,0.25,190.03
1041,2021-01-02 16:00:00,2021-01-07 16:00:00,Standard Class,C0985,Fatima,Corporate,Pakistan,Faisalabad,Punjab,South,P0072,Technology,Tables,Office Chair,840.06,9,0.13,83.06
1042,2021-01-02 17:00:00,2021-01-04 17:00:00,Standard Class,C0564,Sara,Consumer,Pakistan,Karachi,Islamabad Capital,Central,P0415,Technology,Binders,Pen Set,111.31,8,0.07,24.39
1043,2021-01-02 18:00:00,2021-01-06 18:00:00,Same Day,C0950,Omar,Home Office,Pakistan,Faisalabad,Sindh,Central,P0227,Technology,Tables,Office Chair,855.37,3,0.05,97.4
1044,2021-01-02 19:00:00,2021-01-09 19:00:00,Second Class,C0088,Ali,Consumer,Pakistan,Lahore,Islamabad Capital,East,P0091,Technology,Storage,Smartphone,1122.54,3,0.1,241.74
1045,2021-01-02 20:00:00,2021-01-10 20:00:00,First Class,C0313,Ali,Home Office,Pakistan,Karachi,Punjab,West,P0068,Furniture,Tables,Executive Desk,345.94,9,0.24,78.99
1046,2021-01-02 21:00:00,2021-01-05 21:00:00,Standard Class,C0851,Sara,Corporate,Pakistan,Faisalabad,Sindh,Central,P0362,Office Supplies,Tables,Office Chair,408.63,9,0.08,25.19
1047,2021-01-02 22:00:00,2021-01-03 22:00:00,Second Class,C0066,Bilal,Home Office,Pakistan,Faisalabad,Sindh,South,P0260,Technology,Accessories,Office Chair,956.48,5,0.01,145.38
